theta,range
0,18.41499999999996
1,20.00695237746715
2,21.73675047630963
3,23.457807743797716
4,25.31318772238221
5,27.30071561187369
6,29.273751852077396
7,31.37438365167481
8,33.59979528982629
9,35.80370196481589
10,37.984034532695844
11,40.28107082853013
12,42.549419820110245
13,44.786919022396134
14,47.132113673244774
15,49.30085269160638
16,51.5716882172561
17,53.801703478830724
18,55.85079147609895
19,57.993378996406676
20,60.08864136430626
21,62.13444153894859
22,64.12866703738462
23,66.06923103169707
24,67.95407343530557
25,69.6497473602933
26,71.4181681445629
27,73.12489791525383
28,74.63996645026596
29,76.21872521399528
30,77.60452637880283
31,78.92366821581771
32,80.1744550189418
33,81.35522540221771
34,82.34414276852051
35,83.38147130303459
36,84.22674280584138
37,84.99875960739216
38,85.69615042381054
39,86.31758154804201
40,86.75068118132798
41,87.21798938656435
42,87.49784700091173
43,87.70025282514989
44,87.71986407228701
45,87.76606413857795
46,87.63112220971782
47,87.41851683559379
48,87.03043761202075
49,86.66208089460798
50,86.12064556015127
51,85.50257465036921
52,84.71805513528668
53,83.94713341506007
54,83.01286503003237
55,82.00417492396622
56,80.83967188717057
57,78.81466301186153
58,76.68456348548065
59,74.53110507817837
60,72.35494375481119
61,70.15674239576899
62,67.93717059505104
63,65.69690445630785
64,63.43662638689614
65,61.15702489000196
66,58.85879435491358
67,56.542634845521356
68,54.20925188705208
69,51.859356251166375
70,49.49366373945503
71,47.11289496538867
72,44.71777513482335
73,42.309033825086644
74,39.88740476274146
75,37.45362560009498
76,35.00843769049034
77,32.552585862490076
78,30.08681819299355
79,27.61188577936195
80,25.128542510630968
81,22.637544837864144
82,20.13965154373475
83,17.635623511389877
84,15.126223492678468
85,12.612215875811348
86,10.094366452517741
87,7.573442184780895
88,5.050210971211823
89,2.52544141313985
